,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acetato,Acrilico,Alpaca,Altre_fibre,Carta,Cashmere,Cotone,Cuoio,Elastan,Fibra_metallizzata,Lana,Lino,Lyocell,Modacrilico,Modal,Pelo_di_yak,Poliammide,Poliestere,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti,Coppie
2802,0,top,Magliette e Top,H&M,maglia con collo a lupetto,9.99,Null,"Viscosa 95%, Elastan 5%",Nero,2182,https://www2.hm.com/it_it/productpage.0954353001.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Elastan/Viscosa
2803,0,top,Magliette e Top,H&M,top corto con colletto,19.99,6.99,"Poliestere 88%, Elastan 12%",Bianco,2183,https://www2.hm.com/it_it/productpage.1035210002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2804,0,top,Magliette e Top,H&M,top corto con colletto,19.99,7.99,"Poliestere 88%, Elastan 12%",Nero,2183,https://www2.hm.com/it_it/productpage.1035210002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2805,0,top,Magliette e Top,H&M,top corto con colletto,19.99,6.99,"Poliestere 88%, Elastan 12%",Rosso,2183,https://www2.hm.com/it_it/productpage.1035210002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2806,0,top,Magliette e Top,H&M,top corto con colletto,19.99,6.99,"Poliestere 88%, Elastan 12%",Verde,2183,https://www2.hm.com/it_it/productpage.1035210002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2807,0,top,Magliette e Top,H&M,h&m+ felpa con stampa,19.99,Null,"Cotone 62%, Poliestere 38%",Blu,2184,https://www2.hm.com/it_it/productpage.1107502001.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Poliestere
2808,0,top,Magliette e Top,H&M,maglia in jersey a maniche lunghe,19.99,8.99,"Fodera interna: Poliestere 100%,Esterno: Poliestere 93%, Elastan 7%",Bianco,2189,https://www2.hm.com/it_it/productpage.1036880002.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2809,0,top,Magliette e Top,H&M,felpa con mezza cerniera,19.99,Null,"Esterno: Cotone 59%, Poliestere 41%",Marrone,2191,https://www2.hm.com/it_it/productpage.1077848004.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Poliestere
2810,0,top,Magliette e Top,H&M,felpa con mezza cerniera,19.99,Null,"Esterno: Cotone 59%, Poliestere 41%",Verde,2191,https://www2.hm.com/it_it/productpage.1077848004.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Poliestere
2811,0,top,Magliette e Top,H&M,maglia da rugby oversize,24.99,Null,"Cotone 57%, Poliestere 43%",Blu,2196,https://www2.hm.com/it_it/productpage.1031906001.html,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Poliestere
2812,0,top,Magliette e Top,H&M,top a costine,19.99,Null,"Viscosa 93%, Elastan 7%",Nero,2199,https://www2.hm.com/it_it/productpage.1024777003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Elastan/Viscosa
2813,0,top,Magliette e Top,H&M,top a costine,19.99,Null,"Viscosa 93%, Elastan 7%",Bianco,2199,https://www2.hm.com/it_it/productpage.1024777003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Elastan/Viscosa
2814,0,top,Magliette e Top,H&M,maglia corta con mezza cerniera,12.99,Null,"Cotone 95%, Elastan 5%",Grigio,2202,https://www2.hm.com/it_it/productpage.1087336003.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
2815,0,top,Magliette e Top,H&M,maglia corta con mezza cerniera,12.99,Null,"Cotone 95%, Elastan 5%",Nero,2202,https://www2.hm.com/it_it/productpage.1087336003.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
2816,0,top,Magliette e Top,H&M,maglia corta con mezza cerniera,12.99,Null,"Cotone 95%, Elastan 5%",Bianco,2202,https://www2.hm.com/it_it/productpage.1087336003.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
2817,0,top,Magliette e Top,H&M,top con scollo a v,14.99,8.99,"Poliestere 92%, Elastan 8%",Ciano,2205,https://www2.hm.com/it_it/productpage.1055769003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2818,0,top,Magliette e Top,H&M,top con scollo a v,14.99,4.99,"Poliestere 95%, Elastan 5%",Nero,2205,https://www2.hm.com/it_it/productpage.1055769003.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Elastan/Poliestere
2819,0,top,Magliette e Top,H&M,polo a maniche lunghe,17.99,Null,"Colletto: Cotone 100%,Esterno: Cotone 97%, Elastan 3%",Bianco,2207,https://www2.hm.com/it_it/productpage.0999720008.html,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Cotone/Elastan
