,Unnamed: 0,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acrilico,Alluminio,Altre_fibre,Cashmere,Cotone,Cuoio,Lana,Lino,Lyocell,Modal,Poliammide,Poliestere,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti,Materiale
42,43,0,abiti,Vestiti,H&M,abito satin maniche a palloncino,22.99,Null,Poliestere 100%,Bianco,2087,https://www2.hm.com/it_it/productpage.1104644002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
43,44,0,abiti,Vestiti,H&M,abito satin maniche a palloncino,22.99,Null,Poliestere 100%,Nero,2087,https://www2.hm.com/it_it/productpage.1104644002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
44,45,0,abiti,Vestiti,H&M,chemisier oversize,29.99,Null,Poliestere 100%,Giallo,2089,https://www2.hm.com/it_it/productpage.1005002002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
45,46,0,abiti,Vestiti,H&M,chemisier oversize,29.99,Null,Poliestere 100%,Beige,2089,https://www2.hm.com/it_it/productpage.1005002002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
46,47,0,abiti,Vestiti,H&M,chemisier oversize,29.99,Null,Poliestere 100%,Beige,2089,https://www2.hm.com/it_it/productpage.1005002002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
47,48,0,abiti,Vestiti,H&M,chemisier oversize,29.99,Null,Poliestere 100%,Nero,2089,https://www2.hm.com/it_it/productpage.1005002002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
48,49,0,abiti,Vestiti,H&M,h&m+ pleated dress,39.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Ciano,2091,https://www2.hm.com/it_it/productpage.1113135001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
49,50,0,abiti,Vestiti,H&M,chemisier con cintura da annodare,34.99,Null,Poliestere 100%,Blu,2094,https://www2.hm.com/it_it/productpage.1090811002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
50,51,0,abiti,Vestiti,H&M,chemisier con cintura da annodare,34.99,Null,Poliestere 100%,Beige,2094,https://www2.hm.com/it_it/productpage.1090811002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
51,52,0,abiti,Vestiti,H&M,abito in denim,39.99,Null,Cotone 100%,Blu,2095,https://www2.hm.com/it_it/productpage.1079573001.html,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Cotone
