,index,Unnamed: 0,...1,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acetato,Acrilico,Alluminio,Alpaca,Altre_fibre,Canapa,Carta,Cashmere,Cotone,Cuoio,Elastan,Elastodiene,Elastomultiestere,Etilenvinilacetato,Fibra_di_acido_polilattico,Fibra_di_asclepiade,Fibra_metallizzata,Fibre_non_specificate,Lana,Lattice,Lino,Lyocell,Modacrilico,Modal,Mohair,Paglia,Pelo_di_yak,Piuma,Piumino,Poliammide,Policarbonato,Poliestere,Polietilene,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti
26,26,27,27,0,abiti,Vestiti,H&M,abito in maglia a coste,32.99,Null,"Poliestere 53%, Acrilico 45%, Lana 2%",Beige,2038,https://www2.hm.com/it_it/productpage.1088014012.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
27,27,28,28,0,abiti,Vestiti,H&M,abito-blazer a doppio petto,34.99,Null,Poliestere 100%,Nero,2039,https://www2.hm.com/it_it/productpage.1097021006.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
28,28,29,29,0,abiti,Vestiti,H&M,abito-blazer a doppio petto,34.99,Null,"Poliestere 98%, Elastan 2%",Nero,2039,https://www2.hm.com/it_it/productpage.1097021006.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
29,29,30,30,0,abiti,Vestiti,H&M,abito-blazer a doppio petto,34.99,Null,"Poliestere 98%, Elastan 2%",Beige,2039,https://www2.hm.com/it_it/productpage.1097021006.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
30,30,31,31,0,abiti,Vestiti,H&M,lace dress,24.99,Null,"Fodera interna: Poliestere 93%, Elastan 7%,Esterno: Poliestere 87%, Elastan 13%",Nero,2041,https://www2.hm.com/it_it/productpage.1120411001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
31,31,32,32,0,abiti,Vestiti,H&M,abito glitter con torchon,17.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 63%, Fibra metallizzata 30%, Elastan 7%",Grigio,2042,https://www2.hm.com/it_it/productpage.1123257001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
32,32,33,33,0,abiti,Vestiti,H&M,maxiabito in maglia a coste,24.99,Null,Poliestere 100%,Giallo,2043,https://www2.hm.com/it_it/productpage.1122808001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
33,33,34,34,0,abiti,Vestiti,H&M,abito in velluto con torchon,24.99,Null,"Poliestere 93%, Elastan 7%",Nero,2044,https://www2.hm.com/it_it/productpage.1119150002.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
34,34,35,35,0,abiti,Vestiti,H&M,sequined wrap dress,49.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 95%, Elastan 5%",Grigio,2045,https://www2.hm.com/it_it/productpage.1119044002.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
35,35,36,36,0,abiti,Vestiti,H&M,abito in mesh,19.99,Null,"Fodera interna: Poliestere 93%, Elastan 7%,Esterno: Poliestere 95%, Elastan 5%",Nero,2047,https://www2.hm.com/it_it/productpage.1100492003.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
36,36,37,37,0,abiti,Vestiti,H&M,abito in mesh,19.99,Null,"Esterno: Poliestere 95%, Elastan 5%,Fodera interna: Poliestere 93%, Elastan 7%",Arancione,2047,https://www2.hm.com/it_it/productpage.1100492003.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
37,37,38,38,0,abiti,Vestiti,H&M,abito aderente,29.99,Null,"Cotone 54%, Elastan 43%, Poliestere 3%",Nero,2048,https://www2.hm.com/it_it/productpage.1104645003.html,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
